original_url,source_website,resolution,search_query,local_path,caption
https://cand.com.vn/Files/Image/chienthang/2020/04/06/08aecc16-8462-4443-9dbb-88aa6d1b572e.jpg,Công an Nhân dân,600x400,vỉa hè đường phố việt nam,images/vỉa hè đường phố việt nam_1736910371.jpg,"Bức ảnh chụp một con phố với ba người đang ngồi trên ghế nhựa. Người đàn ông mặc áo khoác xanh dương đang đọc báo, người phụ nữ mặc áo đen đang nhìn về phía trước và người đàn ông mặc áo đen cũng đang đọc báo. Phía sau họ là một chiếc xe máy màu đen đỗ bên lề đường. Trên tường nhà có treo một tấm biển quảng cáo với dòng chữ ""Vừa tay sánh điệu"" được viết bằng tiếng Việt. Bên cạnh đó còn có một số đồ vật khác như túi nilon, chai nước, bao bì,..."
https://cafebiz.cafebizcdn.vn/162123310254002176/2024/1/1/9-anh-1-via-he-duong-hung-vuong-quan-5-duoc-son-ke-vach-vang-ai-my-17040246564941929810802-1704073600647-17040736007441442461735.jpg,CafeBiz,2000x1500,vỉa hè đường phố việt nam,images/vỉa hè đường phố việt nam_1736910372.jpg,"Bức ảnh chụp một con phố với vỉa hè lát gạch. Phía bên trái là một cửa hàng có biển hiệu ""HOA - MOBILE"" với dòng chữ ""PLE SAMSUNG HTC"" ở phía trên. Bên cạnh đó là một cửa hàng khác với biển hiệu ""KHOA - MOBILE"". Trên vỉa hè, có nhiều xe máy đang đậu và một người đàn ông mặc áo màu vàng đang đi bộ. Phía bên phải của bức ảnh là một con đường với nhiều cây xanh và các tòa nhà cao tầng."
https://cdn.tiasang.com.vn/tiasang-media/2023/05/tam-hon-via-he-anh-3-1.jpg,Tạp chí Tia sáng,1901x1271,vỉa hè đường phố việt nam,images/vỉa hè đường phố việt nam_1736910372.jpg,"Bức ảnh chụp một con phố nhỏ với hai bên đường là những hàng cây xanh mát. Trên vỉa hè, có một số người đang ngồi uống nước và trò chuyện. Bên phải bức ảnh, có một quán cà phê với mái che màu xanh lá cây. Phía trước quán cà phê là một chiếc xe máy màu đen được dựng trên vỉa hè. Bức ảnh cho thấy một khung cảnh yên bình và thanh bình của cuộc sống thường ngày ở Việt Nam."
https://cand.com.vn/Files/Image/chienthang/2020/04/06/thumb_660_54694809-c46f-4468-85cf-5193893d216d.jpg,Công an Nhân dân,660x451,vỉa hè đường phố việt nam,images/vỉa hè đường phố việt nam_1736910372.jpg,"Hình ảnh cho thấy một người đàn ông mặc áo xanh lá cây đang đứng trước một bảng thông báo. Bảng thông báo được treo trên tường màu vàng và có dòng chữ ""Hà Nội Mới"" ở phía trên. Bên cạnh bảng thông báo là một chiếc xe máy màu trắng đen."
https://icdn.dantri.com.vn/thumb_w/680/dansinh/2024/10/03/anh-2b-ky-2-kinh-te-via-heok-1727930149378.jpg,Dân sinh - Dân trí,680x454,vỉa hè đường phố việt nam,images/vỉa hè đường phố việt nam_1736910372.jpg,"Bức ảnh chụp một con phố ở Việt Nam. Phía bên trái là một quán ăn có biển hiệu ""Ăn Vặt"" với dòng chữ ""Nước mía, Sinh tố, Nước ép tráng cay, Sầu đá - He Đá, Chín sắn - Hoa quả dâm, Sữa chua - Caramen, Táo tươi - Thạch Găng"". Bên cạnh quán ăn là một hàng cây xanh mát. Phía trước quán ăn là một số ghế nhựa màu xanh dương và xanh lá cây. Phía bên phải của bức ảnh là một cửa hàng bán đồ ăn vặt với biển hiệu ""Lẩu Xưởng 15k"". Có nhiều người đang ngồi uống nước trong cửa hàng. Bức ảnh được chụp từ góc nhìn thấp, cho thấy toàn bộ con phố và các cửa hàng xung quanh."
https://static.tuoitre.vn/tto/i/s626/2017/03/15/ht-viahe-2-jpg-1489550320.jpg,Báo Tuổi Trẻ,665x443,vỉa hè đường phố việt nam,images/vỉa hè đường phố việt nam_1736910372.jpg,"Bức ảnh chụp một con phố ở Việt Nam. Phía bên trái là một con đường với nhiều xe máy đang lưu thông. Bên phải là một cửa hàng có biển hiệu ""NƯỚNG BẢO LỢI"" và một người đàn ông đang đi bộ trên vỉa hè."
https://media-cdn-v2.laodong.vn/storage/newsportal/2023/9/20/1244094/Via-He-HN.00_00_03_2.jpg,Báo Lao động,1920x1080,vỉa hè đường phố việt nam,images/vỉa hè đường phố việt nam_1736910372.jpg,"Bức ảnh chụp một con đường ở Việt Nam, có hai người phụ nữ đang đi xe máy. Người phụ nữ bên trái đội nón lá, người phụ nữ bên phải đội mũ bảo hiểm. Hai người này đều đeo ô dù. Phía sau họ là một chiếc xe máy màu xanh dương đang di chuyển. Bên phải bức ảnh là một cửa hàng có biển hiệu ""768 ĐƯỜNG LÁNG"" và dòng chữ ""KHU TẬP GIÁO DỤC BỘ GIÁO DỤC""."
https://file3.qdnd.vn/data/images/0/2022/10/02/tuanson/3.jpg,Báo Quân đội nhân dân,570x355,vỉa hè đường phố việt nam,images/vỉa hè đường phố việt nam_1736910372.jpg,"Bức ảnh chụp một con phố ở Việt Nam với nhiều cửa hàng và người đi bộ. Phía trước là một quán cà phê có biển hiệu ""TRUNG NGUYÊN LEGEND Coffee The Change"". Bên cạnh quán cà phê là một quán kinh tế có biển hiệu ""KINH MODEL"". Trên vỉa hè, có một bảng hiệu ghi ""ĐIỂM GIỮ XE"" và hai người đang đi bộ trên vỉa hè."
https://file1.dangcongsan.vn/data/0/images/2022/12/23/upload_34/viaa-he.jpg,Báo điện tử - Đảng Cộng sản Việt Nam,660x495,vỉa hè đường phố việt nam,images/vỉa hè đường phố việt nam_1736910373.jpg,"Bức ảnh chụp cảnh đường phố với nhiều phương tiện giao thông đang đậu dọc theo vỉa hè. Phía bên trái là một tòa nhà màu vàng với mái ngói đỏ, có dòng chữ ""19.5"" được treo trên tường. Phía trước tòa nhà là một hàng cây xanh rợp bóng mát. Ở giữa bức ảnh là một chiếc xe ô tô màu đen đỗ bên lề đường, phía sau là một chiếc xe SUV màu đen khác cũng đỗ bên lề đường. Bên phải bức ảnh là một quán cà phê có biển hiệu ""Phúc Phát""."
http://vannghequandoi.com.vn/thumbnail/VNQD-400-2023-12-20/ngam-ha-noi-thap-nien-1980-1990-qua-anh-doc-cua-nguoi-my-14.jpg,Văn nghệ quân đội,406x449,vỉa hè đường phố việt nam,images/vỉa hè đường phố việt nam_1736910373.jpg,"Bức ảnh chụp một con phố ở Việt Nam. Phía trước là một cửa hàng có biển hiệu ""Vĩnh - An"" với dòng chữ nhỏ hơn bên dưới ghi ""Nơi Vàng Với Hàng Bạc"". Bên cạnh cửa hàng là một người phụ nữ mặc áo đỏ đang đẩy xe đạp. Phía sau cửa hàng là một chiếc xe đạp và một số mặt hàng được bày bán trên vỉa hè."
